Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1711452715056,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,16.01453399658203,20.522842407226563,30.48980712890625,27.4296875,75.51953125,13.336166381835938,43.12476348876953,15.211402893066406,50.36570358276367,43.72876739501953,43.00065994262695,20.790390014648438,6647.9246826171875,28415.598754882813,20474.13153076172,253.68035888671875,34156023808,5100273664,18623000576,0
199,1711452715057,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,49.67192077636719,17.8641357421875,44.3726806640625,6.7073516845703125,98.85867309570313,3.7427902221679688,30.40636444091797,43.87360763549805,20.679855346679688,14.792953491210938,51.69293212890625,4.716728210449219,6647.961853027344,28415.706787109375,20474.205444335938,253.68035888671875,34156023808,5100273664,18623016960,0
199,1711452715257,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,19.28968048095703,19.506256103515625,14.557655334472656,13.824798583984375,58.812652587890625,7.192909240722656,20.930206298828125,19.030288696289063,32.120460510253906,13.689735412597656,20.95458221435547,8.086563110351563,6648.231689453125,28416.55157470703,20474.70440673828,253.6827392578125,34156023808,5100273664,18623909888,0
200,1711452715457,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,13.573623657226563,7.232208251953125,2.3932647705078125,8.100624084472656,14.230667114257813,11.823814392089844,7.675483703613281,5.1368865966796875,4.579109191894531,6.645606994628906,3.9509963989257813,2.3593978881835938,6648.51611328125,28417.109436035156,20474.966857910156,253.6827392578125,34156023808,5100273664,18623868928,0
200,1711452715658,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,9.057083129882813,8.083724975585938,4.701377868652344,6.20733642578125,5.340797424316406,8.9984130859375,11.563468933105469,7.764862060546875,11.452590942382813,9.65582275390625,13.666969299316406,6.6708984375,6648.804931640625,28417.651489257813,20475.23223876953,253.6827392578125,34156023808,5100273664,18623455232,0
200,1711452715859,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,10.095314025878906,12.549018859863281,4.8731689453125,5.635429382324219,13.186203002929688,9.755088806152344,10.152496337890625,13.5504150390625,8.038963317871094,6.74432373046875,19.268653869628906,22.96672821044922,6649.09814453125,28418.3095703125,20475.548461914063,253.6827392578125,34156023808,5100273664,18621169664,0
200,1711452716059,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,8.808540344238281,8.676406860351563,6.03857421875,2.340545654296875,11.674873352050781,10.697151184082031,9.9254150390625,6.234062194824219,4.573158264160156,6.645698547363281,16.01728057861328,6.173248291015625,6649.3983154296875,28418.856506347656,20475.81805419922,253.6827392578125,34156023808,5100273664,18624262144,0
199,1711452716260,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,9.049728393554688,5.637458801269531,3.594390869140625,3.0479278564453125,13.941307067871094,12.565055847167969,9.799598693847656,10.997085571289063,5.0021820068359375,8.080947875976563,4.846946716308594,2.420501708984375,6649.692687988281,28419.376953125,20476.06463623047,253.6827392578125,34156023808,5100273664,18623328256,0
200,1711452716461,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,17.875022888183594,5.934303283691406,7.380561828613281,6.605690002441406,15.307899475097656,10.210861206054688,9.467147827148438,7.6744537353515625,11.232528686523438,9.015777587890625,26.806297302246094,8.263328552246094,6649.983642578125,28420.000732421875,20476.39453125,253.68414306640625,34156023808,5100273664,18637643776,0
199,1711452716661,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,9.854560852050781,8.082901000976563,5.788902282714844,3.901275634765625,9.678535461425781,10.085548400878906,11.669342041015625,20.83458709716797,13.805450439453125,6.988616943359375,8.479026794433594,8.658447265625,6650.271545410156,28420.57763671875,20476.690795898438,253.6854248046875,34156023808,5100273664,18641821696,0
199,1711452716861,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,9.133415222167969,6.166755676269531,7.1727294921875,22.735740661621094,13.653892517089844,12.494308471679688,7.853569030761719,6.5738677978515625,5.474739074707031,3.87054443359375,20.088478088378906,6.559043884277344,6650.563049316406,28421.168395996094,20476.97900390625,253.6854248046875,34156023808,5100273664,18640150528,0
199,1711452717062,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,9.095771789550781,7.4887847900390625,4.526947021484375,2.8389511108398438,7.959991455078125,11.262252807617188,10.687675476074219,11.144256591796875,5.19012451171875,9.508323669433594,6.190185546875,4.593833923339844,6650.85888671875,28421.668823242188,20477.21746826172,253.6854248046875,34156023808,5100273664,18640142336,0
200,1711452717262,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,34.15667724609375,8.353683471679688,10.537582397460938,16.935897827148438,21.231040954589844,16.278526306152344,21.750526428222656,11.960960388183594,15.776229858398438,8.165771484375,15.991744995117188,15.362579345703125,6651.1785888671875,28422.450561523438,20477.649047851563,253.697998046875,34156023808,5100273664,18644094976,0
200,1711452717463,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,8.286544799804688,7.6772918701171875,3.5494613647460938,15.350570678710938,12.023445129394531,10.624786376953125,6.967620849609375,4.466552734375,5.0036468505859375,3.3690032958984375,6.983085632324219,3.8820037841796875,6651.4769287109375,28422.97479248047,20477.898315429688,253.697998046875,34156023808,5100273664,18646642688,0
200,1711452717664,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,24.8436279296875,14.345680236816406,14.481719970703125,14.130027770996094,18.76079559326172,18.841407775878906,20.924400329589844,15.866683959960938,21.42780303955078,11.417442321777344,28.454940795898438,29.694000244140625,6651.7701416015625,28423.69073486328,20478.322631835938,253.697998046875,34156023808,5100273664,18646413312,0
200,1711452717864,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,34.914024353027344,22.064300537109375,33.54309844970703,25.866592407226563,21.005577087402344,27.23796844482422,23.913116455078125,29.443634033203125,25.334815979003906,21.475425720214844,17.4320068359375,12.64312744140625,6652.106018066406,28424.565185546875,20478.853881835938,253.7030029296875,34156023808,5100273664,18662313984,0
200,1711452718065,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,8.752426147460938,8.489715576171875,10.487678527832031,13.84014892578125,12.476310729980469,7.198089599609375,9.688095092773438,6.9776763916015625,6.24456787109375,14.180702209472656,14.289413452148438,7.11102294921875,6652.38525390625,28425.722717285156,20479.697814941406,253.7030029296875,34156023808,5100273664,18663063552,0
199,1711452718266,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,14.779731750488281,7.936767578125,3.5197296142578125,4.172157287597656,14.069435119628906,10.63916015625,8.382339477539063,5.224273681640625,5.114830017089844,6.3917388916015625,5.878997802734375,2.9588165283203125,6652.681396484375,28426.242797851563,20479.94384765625,253.7030029296875,34156023808,5100273664,18663063552,0
10,1711452718466,1495,1495,1495,2592,1495,1495,1495,2592,1495,1495,1495,1495,12.542037963867188,9.018814086914063,7.111442565917969,5.5874176025390625,21.189376831054688,13.348892211914063,16.364402770996094,9.649101257324219,11.271537780761719,5.3896636962890625,13.42620849609375,3.1916732788085938,6652.9901123046875,28426.834350585938,20480.245727539063,253.7056884765625,34156023808,5100273664,18655322112,0
